strain	Line	N_generation	N_pSTR	mutation	N_mutation	mutation_rate	gfeature
PB306	416	231	235	substitutions	3	2.76319425255595e-05	pseudogene
PB306	416	231	421	substitutions	3	1.54240059228183e-05	RNAs & TEs
PB306	418	221	1178	deletions	3	5.76174050657223e-06	3'UTR
PB306	418	221	1069	deletions	4	8.46564429902349e-06	enhancer
PB306	418	221	5394	deletions	27	1.13248003060213e-05	intergenic
PB306	418	221	6873	deletions	50	1.64589221512733e-05	intron
PB306	418	221	1092	deletions	4	8.28733860408069e-06	promoter
PB306	418	221	227	deletions	1	9.96671118464329e-06	pseudogene
PB306	418	221	1178	insertions	4	7.68232067542963e-06	3'UTR
PB306	418	221	352	insertions	1	6.42739613327849e-06	5'UTR
PB306	418	221	1069	insertions	1	2.11641107475587e-06	enhancer
PB306	418	221	5394	insertions	26	1.09053632576501e-05	intergenic
PB306	418	221	6873	insertions	41	1.34963161640441e-05	intron
PB306	418	221	1092	insertions	1	2.07183465102017e-06	promoter
PB306	418	221	424	insertions	2	1.06719030137454e-05	RNAs & TEs
PB306	418	221	1178	substitutions	27	5.185566455915e-05	3'UTR
PB306	418	221	352	substitutions	4	2.57095845331139e-05	5'UTR
PB306	418	221	1449	substitutions	2	3.12276527110287e-06	CDS
PB306	418	221	1069	substitutions	3	6.34923322426762e-06	enhancer
PB306	418	221	5394	substitutions	147	6.16572461105602e-05	intergenic
PB306	418	221	6873	substitutions	215	7.07733652504752e-05	intron
PB306	418	221	1092	substitutions	6	1.2431007906121e-05	promoter
PB306	418	221	227	substitutions	5	4.98335559232165e-05	pseudogene
PB306	418	221	424	substitutions	6	3.20157090412362e-05	RNAs & TEs
PB306	419	190	1203	deletions	4	8.7500546878418e-06	3'UTR
PB306	419	190	1062	deletions	3	7.43383883437407e-06	enhancer
PB306	419	190	5502	deletions	37	1.76969140408273e-05	intergenic
PB306	419	190	7054	deletions	51	1.90261591034575e-05	intron
PB306	419	190	1088	deletions	4	9.6749226006192e-06	promoter
PB306	419	190	237	deletions	2	2.22074172773706e-05	pseudogene
PB306	419	190	416	deletions	1	6.32591093117409e-06	RNAs & TEs
PB306	419	190	1203	insertions	2	4.3750273439209e-06	3'UTR
PB306	419	190	1424	insertions	2	3.69603784742756e-06	CDS
PB306	419	190	1062	insertions	1	2.47794627812469e-06	enhancer
PB306	419	190	5502	insertions	17	8.13101455929901e-06	intergenic
PB306	419	190	7054	insertions	25	9.32654858012624e-06	intron
PB306	419	190	416	insertions	3	1.89777327935223e-05	RNAs & TEs
PB306	419	190	1203	substitutions	44	9.62506015662598e-05	3'UTR
PB306	419	190	352	substitutions	3	2.24282296650718e-05	5'UTR
PB306	419	190	1424	substitutions	1	1.84801892371378e-06	CDS
PB306	419	190	1062	substitutions	7	1.73456239468728e-05	enhancer
PB306	419	190	5502	substitutions	193	9.23109299967476e-05	intergenic
PB306	419	190	7054	substitutions	312	0.000116395326279976	intron
PB306	419	190	1088	substitutions	6	1.45123839009288e-05	promoter
PB306	419	190	237	substitutions	7	7.77259604707972e-05	pseudogene
PB306	419	190	416	substitutions	8	5.06072874493927e-05	RNAs & TEs
PB306	420	237	1190	deletions	7	1.24100273020601e-05	3'UTR
PB306	420	237	355	deletions	1	5.9428299756344e-06	5'UTR
PB306	420	237	1039	deletions	5	1.01525728650155e-05	enhancer
PB306	420	237	5397	deletions	39	1.5245225312703e-05	intergenic
PB306	420	237	6882	deletions	71	2.1765334137731e-05	intron
PB306	420	237	1077	deletions	3	5.87661459986131e-06	promoter
PB306	420	237	224	deletions	1	9.41832429174201e-06	pseudogene
PB306	420	237	412	deletions	3	1.53619270001229e-05	RNAs & TEs
PB306	420	237	1190	insertions	7	1.24100273020601e-05	3'UTR
PB306	420	237	355	insertions	1	5.9428299756344e-06	5'UTR
PB306	420	237	1039	insertions	3	6.09154371900927e-06	enhancer
PB306	420	237	5397	insertions	28	1.09452899680945e-05	intergenic
PB306	420	237	6882	insertions	42	1.28752680814747e-05	intron
PB306	420	237	1077	insertions	1	1.9588715332871e-06	promoter
PB306	420	237	224	insertions	1	9.41832429174201e-06	pseudogene
PB306	420	237	412	insertions	3	1.53619270001229e-05	RNAs & TEs
PB306	420	237	1190	substitutions	38	6.73687196397546e-05	3'UTR
PB306	420	237	355	substitutions	8	4.75426398050752e-05	5'UTR
PB306	420	237	1039	substitutions	6	1.21830874380185e-05	enhancer
PB306	420	237	5397	substitutions	161	6.29354173165433e-05	intergenic
PB306	420	237	6882	substitutions	283	8.67547825489843e-05	intron
PB306	420	237	1077	substitutions	11	2.15475868661581e-05	promoter
PB306	420	237	224	substitutions	7	6.59282700421941e-05	pseudogene
PB306	420	237	412	substitutions	9	4.60857810003687e-05	RNAs & TEs
PB306	421	232	1170	deletions	5	9.21013852048335e-06	3'UTR
PB306	421	232	5354	deletions	32	1.28811201422076e-05	intergenic
PB306	421	232	6793	deletions	43	1.36423397310619e-05	intron
PB306	421	232	1088	deletions	3	5.94257099391481e-06	promoter
PB306	421	232	229	deletions	2	1.88224664960096e-05	pseudogene
PB306	421	232	425	deletions	1	5.0709939148073e-06	RNAs & TEs
PB306	421	232	1170	insertions	6	1.105216622458e-05	3'UTR
PB306	421	232	347	insertions	1	6.21087150949021e-06	5'UTR
PB306	421	232	1073	insertions	2	4.01709676382685e-06	enhancer
PB306	421	232	5354	insertions	28	1.12709801244316e-05	intergenic
PB306	421	232	6793	insertions	38	1.20560211576826e-05	intron
PB306	421	232	1170	substitutions	33	6.07869142351901e-05	3'UTR
PB306	421	232	347	substitutions	2	1.24217430189804e-05	5'UTR
PB306	421	232	1440	substitutions	1	1.49664750957854e-06	CDS
PB306	421	232	5354	substitutions	136	5.47447606043822e-05	intergenic
PB306	421	232	6793	substitutions	222	7.04325446580405e-05	intron
PB306	421	232	1088	substitutions	4	7.92342799188641e-06	promoter
PB306	421	232	229	substitutions	3	2.82336997440145e-05	pseudogene
PB306	421	232	425	substitutions	10	5.0709939148073e-05	RNAs & TEs
PB306	423	228	1029	deletions	8	1.70494262868054e-05	3'UTR
PB306	423	228	1020	deletions	4	8.5999312005504e-06	enhancer
PB306	423	228	4785	deletions	36	1.6498927569708e-05	intergenic
PB306	423	228	6050	deletions	77	2.79106858054226e-05	intron
PB306	423	228	1060	deletions	3	6.20655412115194e-06	promoter
PB306	423	228	206	deletions	3	3.19366377107818e-05	pseudogene
PB306	423	228	385	deletions	3	1.70881749829118e-05	RNAs & TEs
PB306	423	228	1029	insertions	14	2.98364960019095e-05	3'UTR
PB306	423	228	1401	insertions	1	1.56529797012159e-06	CDS
PB306	423	228	1020	insertions	1	2.1499828001376e-06	enhancer
PB306	423	228	4785	insertions	65	2.97897303341949e-05	intergenic
PB306	423	228	6050	insertions	105	3.80600260983036e-05	intron
PB306	423	228	1060	insertions	3	6.20655412115194e-06	promoter
PB306	423	228	206	insertions	1	1.06455459035939e-05	pseudogene
PB306	423	228	385	insertions	1	5.69605832763728e-06	RNAs & TEs
PB306	423	228	1029	substitutions	29	6.18041702896698e-05	3'UTR
PB306	423	228	330	substitutions	6	3.98724082934609e-05	5'UTR
PB306	423	228	1020	substitutions	4	8.5999312005504e-06	enhancer
PB306	423	228	4785	substitutions	126	5.77462464939779e-05	intergenic
PB306	423	228	6050	substitutions	222	8.04697694649848e-05	intron
PB306	423	228	1060	substitutions	5	1.03442568685866e-05	promoter
PB306	423	228	206	substitutions	7	7.45188213251576e-05	pseudogene
PB306	423	228	385	substitutions	9	5.12645249487355e-05	RNAs & TEs
PB306	424	239	1111	deletions	2	3.76606698326736e-06	3'UTR
PB306	424	239	1057	deletions	1	1.97923387815045e-06	enhancer
PB306	424	239	5077	deletions	16	6.59302803767586e-06	intergenic
PB306	424	239	6292	deletions	34	1.13047849829896e-05	intron
PB306	424	239	1083	deletions	2	3.86343528939062e-06	promoter
PB306	424	239	220	deletions	1	9.50931913275009e-06	pseudogene
PB306	424	239	416	deletions	1	5.02896684905053e-06	RNAs & TEs
PB306	424	239	1111	insertions	5	9.41516745816841e-06	3'UTR
PB306	424	239	1057	insertions	1	1.97923387815045e-06	enhancer
PB306	424	239	5077	insertions	30	1.23619275706422e-05	intergenic
PB306	424	239	6292	insertions	37	1.23022660109005e-05	intron
PB306	424	239	1083	insertions	2	3.86343528939062e-06	promoter
PB306	424	239	416	insertions	1	5.02896684905053e-06	RNAs & TEs
PB306	424	239	1111	substitutions	28	5.27249377657431e-05	3'UTR
PB306	424	239	342	substitutions	5	3.05855293743424e-05	5'UTR
PB306	424	239	1443	substitutions	2	2.89958448954265e-06	CDS
PB306	424	239	1057	substitutions	3	5.93770163445134e-06	enhancer
PB306	424	239	5077	substitutions	156	6.42820233673396e-05	intergenic
PB306	424	239	6292	substitutions	192	6.38387857862943e-05	intron
PB306	424	239	1083	substitutions	5	9.65858822347655e-06	promoter
PB306	424	239	220	substitutions	2	1.90186382655002e-05	pseudogene
PB306	424	239	416	substitutions	9	4.52607016414548e-05	RNAs & TEs
PB306	425	222	1127	deletions	21	4.19674332717811e-05	3'UTR
PB306	425	222	333	deletions	4	2.70540811081352e-05	5'UTR
PB306	425	222	1390	deletions	8	1.29626028906604e-05	CDS
PB306	425	222	1019	deletions	12	2.65230883484073e-05	enhancer
PB306	425	222	4953	deletions	101	4.5927211281542e-05	intergenic
PB306	425	222	6262	deletions	153	5.50294785363454e-05	intron
PB306	425	222	1039	deletions	14	3.03479610505597e-05	promoter
PB306	425	222	199	deletions	2	2.26357010276608e-05	pseudogene
PB306	425	222	380	deletions	7	4.1488857278331e-05	RNAs & TEs
PB306	425	222	1127	insertions	18	3.59720856615267e-05	3'UTR
PB306	425	222	333	insertions	2	1.35270405540676e-05	5'UTR
PB306	425	222	1390	insertions	2	3.24065072266511e-06	CDS
PB306	425	222	1019	insertions	10	2.21025736236727e-05	enhancer
PB306	425	222	4953	insertions	118	5.36575339724946e-05	intergenic
PB306	425	222	6262	insertions	217	7.8048345375078e-05	intron
PB306	425	222	1039	insertions	6	1.30062690216684e-05	promoter
PB306	425	222	199	insertions	3	3.39535515414912e-05	pseudogene
PB306	425	222	380	insertions	4	2.37079184447606e-05	RNAs & TEs
PB306	425	222	1127	substitutions	25	4.99612300854537e-05	3'UTR
PB306	425	222	333	substitutions	6	4.05811216622027e-05	5'UTR
PB306	425	222	1390	substitutions	7	1.13422775293279e-05	CDS
PB306	425	222	1019	substitutions	6	1.32615441742036e-05	enhancer
PB306	425	222	4953	substitutions	139	6.3206756120142e-05	intergenic
PB306	425	222	6262	substitutions	209	7.51709870202365e-05	intron
PB306	425	222	1039	substitutions	8	1.73416920288913e-05	promoter
PB306	425	222	199	substitutions	7	7.92249535968129e-05	pseudogene
PB306	425	222	380	substitutions	8	4.74158368895211e-05	RNAs & TEs
PB306	426	228	1176	deletions	10	1.86478100011935e-05	3'UTR
PB306	426	228	350	deletions	2	1.2531328320802e-05	5'UTR
PB306	426	228	1412	deletions	2	3.106207444958e-06	CDS
PB306	426	228	1038	deletions	4	8.45079944562756e-06	enhancer
PB306	426	228	5363	deletions	41	1.67652956743902e-05	intergenic
PB306	426	228	6753	deletions	79	2.56546148430457e-05	intron
PB306	426	228	1072	deletions	5	1.02284629484158e-05	promoter
PB306	426	228	220	deletions	1	9.96810207336523e-06	pseudogene
PB306	426	228	1176	insertions	6	1.11886860007161e-05	3'UTR
PB306	426	228	350	insertions	1	6.265664160401e-06	5'UTR
PB306	426	228	1038	insertions	2	4.22539972281378e-06	enhancer
PB306	426	228	5363	insertions	48	1.96276632285543e-05	intergenic
PB306	426	228	6753	insertions	80	2.59793568030843e-05	intron
PB306	426	228	1072	insertions	1	2.04569258968316e-06	promoter
PB306	426	228	220	insertions	3	2.99043062200957e-05	pseudogene
PB306	426	228	403	insertions	1	5.44164381176266e-06	RNAs & TEs
PB306	426	228	1176	substitutions	33	6.15377730039384e-05	3'UTR
PB306	426	228	350	substitutions	7	4.3859649122807e-05	5'UTR
PB306	426	228	1038	substitutions	5	1.05634993070344e-05	enhancer
PB306	426	228	5363	substitutions	167	6.82879116493453e-05	intergenic
PB306	426	228	6753	substitutions	278	9.02782648907178e-05	intron
PB306	426	228	1072	substitutions	7	1.43198481277821e-05	promoter
PB306	426	228	220	substitutions	5	4.98405103668262e-05	pseudogene
PB306	426	228	403	substitutions	11	5.98580819293892e-05	RNAs & TEs
PB306	428	234	1155	deletions	7	1.2950012950013e-05	3'UTR
PB306	428	234	344	deletions	1	6.2114887696283e-06	5'UTR
PB306	428	234	1024	deletions	3	6.26001602564103e-06	enhancer
PB306	428	234	5261	deletions	55	2.23382184986443e-05	intergenic
PB306	428	234	6714	deletions	79	2.51420045879385e-05	intron
PB306	428	234	1051	deletions	3	6.09919734562931e-06	promoter
PB306	428	234	224	deletions	1	9.53907203907204e-06	pseudogene
PB306	428	234	409	deletions	2	1.04486657053894e-05	RNAs & TEs
PB306	428	234	1155	insertions	6	1.11000111000111e-05	3'UTR
PB306	428	234	344	insertions	1	6.2114887696283e-06	5'UTR
PB306	428	234	1024	insertions	3	6.26001602564103e-06	enhancer
PB306	428	234	5261	insertions	45	1.82767242261635e-05	intergenic
PB306	428	234	6714	insertions	73	2.32324852521457e-05	intron
PB306	428	234	224	insertions	1	9.53907203907204e-06	pseudogene
PB306	428	234	1155	substitutions	32	5.92000592000592e-05	3'UTR
PB306	428	234	344	substitutions	6	3.72689326177698e-05	5'UTR
PB306	428	234	1412	substitutions	1	1.51328055010775e-06	CDS
PB306	428	234	1024	substitutions	5	1.0433360042735e-05	enhancer
PB306	428	234	5261	substitutions	162	6.57962072141886e-05	intergenic
PB306	428	234	6714	substitutions	275	8.75196362238364e-05	intron
PB306	428	234	1051	substitutions	9	1.82975920368879e-05	promoter
PB306	428	234	224	substitutions	8	7.63125763125763e-05	pseudogene
PB306	428	234	409	substitutions	6	3.13459971161683e-05	RNAs & TEs
PB306	429	224	1190	deletions	5	9.37875150060024e-06	3'UTR
PB306	429	224	1043	deletions	1	2.14011779208328e-06	enhancer
PB306	429	224	5431	deletions	28	1.1508009574664e-05	intergenic
PB306	429	224	6937	deletions	57	1.83410902201446e-05	intron
PB306	429	224	1071	deletions	3	6.25250100040016e-06	promoter
PB306	429	224	227	deletions	1	9.83322844556325e-06	pseudogene
PB306	429	224	409	deletions	1	5.4575619979043e-06	RNAs & TEs
PB306	429	224	1190	insertions	4	7.50300120048019e-06	3'UTR
PB306	429	224	348	insertions	1	6.41420361247947e-06	5'UTR
PB306	429	224	1043	insertions	2	4.28023558416655e-06	enhancer
PB306	429	224	5431	insertions	26	1.06860088907594e-05	intergenic
PB306	429	224	6937	insertions	34	1.09402994295599e-05	intron
PB306	429	224	1071	insertions	1	2.08416700013339e-06	promoter
PB306	429	224	227	insertions	3	2.94996853366897e-05	pseudogene
PB306	429	224	409	insertions	1	5.4575619979043e-06	RNAs & TEs
PB306	429	224	1190	substitutions	36	6.75270108043217e-05	3'UTR
PB306	429	224	348	substitutions	3	1.92426108374384e-05	5'UTR
PB306	429	224	1418	substitutions	1	1.57414870038283e-06	CDS
PB306	429	224	1043	substitutions	4	8.56047116833311e-06	enhancer
PB306	429	224	5431	substitutions	186	7.64460636031249e-05	intergenic
PB306	429	224	6937	substitutions	304	9.7819147840771e-05	intron
PB306	429	224	1071	substitutions	7	1.45891690009337e-05	promoter
PB306	429	224	227	substitutions	11	0.000108165512901196	pseudogene
PB306	429	224	409	substitutions	9	4.91180579811387e-05	RNAs & TEs
PB306	430	212	1179	deletions	8	1.6003328692368e-05	3'UTR
PB306	430	212	348	deletions	1	6.77727174148775e-06	5'UTR
PB306	430	212	1424	deletions	2	3.312486750053e-06	CDS
PB306	430	212	1046	deletions	3	6.76431328691511e-06	enhancer
PB306	430	212	5318	deletions	52	2.30615850759613e-05	intergenic
PB306	430	212	6823	deletions	89	3.07644233295264e-05	intron
PB306	430	212	1067	deletions	3	6.63118247245849e-06	promoter
PB306	430	212	230	deletions	2	2.05086136177194e-05	pseudogene
PB306	430	212	1179	insertions	5	1.000208043273e-05	3'UTR
PB306	430	212	1046	insertions	6	1.35286265738302e-05	enhancer
PB306	430	212	5318	insertions	50	2.21746010345782e-05	intergenic
PB306	430	212	6823	insertions	69	2.38510697723294e-05	intron
PB306	430	212	1067	insertions	2	4.42078831497233e-06	promoter
PB306	430	212	230	insertions	1	1.02543068088597e-05	pseudogene
PB306	430	212	1179	substitutions	42	8.40174756349321e-05	3'UTR
PB306	430	212	348	substitutions	5	3.38863587074387e-05	5'UTR
PB306	430	212	1424	substitutions	2	3.312486750053e-06	CDS
PB306	430	212	1046	substitutions	5	1.12738554781919e-05	enhancer
PB306	430	212	5318	substitutions	172	7.6280627558949e-05	intergenic
PB306	430	212	6823	substitutions	274	9.47129437335981e-05	intron
PB306	430	212	1067	substitutions	9	1.98935474173755e-05	promoter
PB306	430	212	230	substitutions	8	8.20344544708778e-05	pseudogene
PB306	430	212	401	substitutions	9	5.29337034771562e-05	RNAs & TEs
PB306	432	228	1195	deletions	7	1.28459223372238e-05	3'UTR
PB306	432	228	1066	deletions	1	2.05720680688588e-06	enhancer
PB306	432	228	5479	deletions	44	1.76111020387252e-05	intergenic
PB306	432	228	6942	deletions	58	1.83222389017776e-05	intron
PB306	432	228	1083	deletions	3	6.07474364581815e-06	promoter
PB306	432	228	231	deletions	2	1.89868610921243e-05	pseudogene
PB306	432	228	422	deletions	1	5.19664089132785e-06	RNAs & TEs
PB306	432	228	1195	insertions	3	5.50539528738163e-06	3'UTR
PB306	432	228	352	insertions	1	6.23006379585327e-06	5'UTR
PB306	432	228	1066	insertions	1	2.05720680688588e-06	enhancer
PB306	432	228	5479	insertions	26	1.04065602956104e-05	intergenic
PB306	432	228	6942	insertions	41	1.29519274995325e-05	intron
PB306	432	228	231	insertions	1	9.49343054606213e-06	pseudogene
PB306	432	228	1195	substitutions	45	8.25809293107245e-05	3'UTR
PB306	432	228	352	substitutions	7	4.36104465709729e-05	5'UTR
PB306	432	228	1427	substitutions	1	1.53677817529107e-06	CDS
PB306	432	228	1066	substitutions	8	1.64576544550871e-05	enhancer
PB306	432	228	5479	substitutions	196	7.84494545361396e-05	intergenic
PB306	432	228	6942	substitutions	323	0.000102035916642658	intron
PB306	432	228	1083	substitutions	9	1.82242309374544e-05	promoter
PB306	432	228	231	substitutions	10	9.49343054606212e-05	pseudogene
PB306	432	228	422	substitutions	9	4.67697680219506e-05	RNAs & TEs
PB306	435	236	1176	deletions	8	1.44125446788885e-05	3'UTR
PB306	435	236	347	deletions	1	6.10560250085478e-06	5'UTR
PB306	435	236	1422	deletions	1	1.4899044077332e-06	CDS
PB306	435	236	1035	deletions	4	8.18799639728159e-06	enhancer
PB306	435	236	5391	deletions	35	1.37548770864184e-05	intergenic
PB306	435	236	6799	deletions	63	1.96315011429896e-05	intron
PB306	435	236	1066	deletions	3	5.96241294877095e-06	promoter
PB306	435	236	229	deletions	2	1.85034416401451e-05	pseudogene
PB306	435	236	413	deletions	1	5.12988878401116e-06	RNAs & TEs
PB306	435	236	1176	insertions	4	7.20627233944425e-06	3'UTR
PB306	435	236	347	insertions	3	1.83168075025644e-05	5'UTR
PB306	435	236	1422	insertions	1	1.4899044077332e-06	CDS
PB306	435	236	1035	insertions	5	1.0234995496602e-05	enhancer
PB306	435	236	5391	insertions	26	1.02179086927679e-05	intergenic
PB306	435	236	6799	insertions	39	1.21528340408983e-05	intron
PB306	435	236	1066	insertions	3	5.96241294877095e-06	promoter
PB306	435	236	229	insertions	1	9.25172082007253e-06	pseudogene
PB306	435	236	1176	substitutions	34	6.12533148852761e-05	3'UTR
PB306	435	236	347	substitutions	5	3.05280125042739e-05	5'UTR
PB306	435	236	1035	substitutions	4	8.18799639728159e-06	enhancer
PB306	435	236	5391	substitutions	187	7.34903432902924e-05	intergenic
PB306	435	236	6799	substitutions	276	8.60046716740498e-05	intron
PB306	435	236	1066	substitutions	11	2.18621808121601e-05	promoter
PB306	435	236	229	substitutions	11	0.000101768929020798	pseudogene
PB306	435	236	413	substitutions	6	3.0779332704067e-05	RNAs & TEs
PB306	436	225	1171	deletions	3	5.69313976658127e-06	3'UTR
PB306	436	225	347	deletions	2	1.28081972462376e-05	5'UTR
PB306	436	225	1025	deletions	2	4.3360433604336e-06	enhancer
PB306	436	225	5317	deletions	32	1.33742921028985e-05	intergenic
PB306	436	225	6791	deletions	68	2.22516729658535e-05	intron
PB306	436	225	1067	deletions	5	1.04134124752681e-05	promoter
PB306	436	225	220	deletions	3	3.03030303030303e-05	pseudogene
PB306	436	225	410	deletions	2	1.0840108401084e-05	RNAs & TEs
PB306	436	225	1171	insertions	2	3.79542651105418e-06	3'UTR
PB306	436	225	1025	insertions	1	2.1680216802168e-06	enhancer
PB306	436	225	5317	insertions	29	1.21204522182517e-05	intergenic
PB306	436	225	6791	insertions	44	1.43981413308464e-05	intron
PB306	436	225	1067	insertions	2	4.16536499010726e-06	promoter
PB306	436	225	220	insertions	2	2.02020202020202e-05	pseudogene
PB306	436	225	410	insertions	1	5.42005420054201e-06	RNAs & TEs
PB306	436	225	1171	substitutions	35	6.64199639434481e-05	3'UTR
PB306	436	225	347	substitutions	7	4.48286903618316e-05	5'UTR
PB306	436	225	1025	substitutions	8	1.73441734417344e-05	enhancer
PB306	436	225	5317	substitutions	172	7.18868200530792e-05	intergenic
PB306	436	225	6791	substitutions	298	9.7514684468005e-05	intron
PB306	436	225	1067	substitutions	10	2.08268249505363e-05	promoter
PB306	436	225	220	substitutions	8	8.08080808080808e-05	pseudogene
PB306	436	225	410	substitutions	10	5.42005420054201e-05	RNAs & TEs
PB306	437	228	1161	deletions	10	1.88887377789867e-05	3'UTR
PB306	437	228	336	deletions	2	1.30534670008354e-05	5'UTR
PB306	437	228	1030	deletions	3	6.38732754215636e-06	enhancer
PB306	437	228	5215	deletions	62	2.60718911372391e-05	intergenic
PB306	437	228	6632	deletions	103	3.40586841047129e-05	intron
PB306	437	228	1065	deletions	7	1.44139691952887e-05	promoter
PB306	437	228	225	deletions	3	2.92397660818713e-05	pseudogene
PB306	437	228	399	deletions	1	5.4961966319307e-06	RNAs & TEs
PB306	437	228	1161	insertions	7	1.32221164452907e-05	3'UTR
PB306	437	228	336	insertions	1	6.52673350041771e-06	5'UTR
PB306	437	228	1397	insertions	1	1.56977985407326e-06	CDS
PB306	437	228	1030	insertions	5	1.06455459035939e-05	enhancer
PB306	437	228	5215	insertions	56	2.35488048981514e-05	intergenic
PB306	437	228	6632	insertions	102	3.37280172687448e-05	intron
PB306	437	228	1065	insertions	3	6.17741536940944e-06	promoter
PB306	437	228	225	insertions	4	3.89863547758285e-05	pseudogene
PB306	437	228	399	insertions	1	5.4961966319307e-06	RNAs & TEs
PB306	437	228	1161	substitutions	34	6.42217084485546e-05	3'UTR
PB306	437	228	336	substitutions	7	4.5687134502924e-05	5'UTR
PB306	437	228	1030	substitutions	5	1.06455459035939e-05	enhancer
PB306	437	228	5215	substitutions	138	5.8030983499016e-05	intergenic
PB306	437	228	6632	substitutions	256	8.46507100078302e-05	intron
PB306	437	228	1065	substitutions	8	1.64731076517585e-05	promoter
PB306	437	228	225	substitutions	5	4.87329434697856e-05	pseudogene
PB306	437	228	399	substitutions	11	6.04581629512377e-05	RNAs & TEs
PB306	440	213	1145	deletions	11	2.25516124402895e-05	3'UTR
PB306	440	213	347	deletions	2	1.35297858234904e-05	5'UTR
PB306	440	213	1390	deletions	1	1.68878981321985e-06	CDS
PB306	440	213	1028	deletions	8	1.82678431157633e-05	enhancer
PB306	440	213	5176	deletions	64	2.90252592318465e-05	intergenic
PB306	440	213	6605	deletions	116	4.12264147590565e-05	intron
PB306	440	213	1057	deletions	11	2.44291355195189e-05	promoter
PB306	440	213	215	deletions	2	2.18364450267496e-05	pseudogene
PB306	440	213	395	deletions	2	1.18856599512688e-05	RNAs & TEs
PB306	440	213	1145	insertions	16	3.28023453676938e-05	3'UTR
PB306	440	213	347	insertions	2	1.35297858234904e-05	5'UTR
PB306	440	213	1390	insertions	2	3.37757962643969e-06	CDS
PB306	440	213	1028	insertions	5	1.14174019473521e-05	enhancer
PB306	440	213	5176	insertions	100	4.53519675497602e-05	intergenic
PB306	440	213	6605	insertions	143	5.08222181943541e-05	intron
PB306	440	213	1057	insertions	5	1.11041525088722e-05	promoter
PB306	440	213	215	insertions	6	6.55093350802489e-05	pseudogene
PB306	440	213	395	insertions	3	1.78284899269032e-05	RNAs & TEs
PB306	440	213	1145	substitutions	32	6.56046907353876e-05	3'UTR
PB306	440	213	347	substitutions	3	2.02946787352356e-05	5'UTR
PB306	440	213	1390	substitutions	4	6.75515925287939e-06	CDS
PB306	440	213	1028	substitutions	8	1.82678431157633e-05	enhancer
PB306	440	213	5176	substitutions	154	6.98420300266307e-05	intergenic
PB306	440	213	6605	substitutions	258	9.16932328261774e-05	intron
PB306	440	213	1057	substitutions	11	2.44291355195189e-05	promoter
PB306	440	213	215	substitutions	6	6.55093350802489e-05	pseudogene
PB306	440	213	395	substitutions	11	6.53711297319784e-05	RNAs & TEs
PB306	442	228	1143	deletions	5	9.59309910822551e-06	3'UTR
PB306	442	228	1069	deletions	2	4.10286708351796e-06	enhancer
PB306	442	228	5293	deletions	29	1.20152071090252e-05	intergenic
PB306	442	228	6588	deletions	42	1.39807624708401e-05	intron
PB306	442	228	1101	deletions	2	3.98361935720318e-06	promoter
PB306	442	228	1143	insertions	6	1.15117189298706e-05	3'UTR
PB306	442	228	349	insertions	1	6.28361735283768e-06	5'UTR
PB306	442	228	1443	insertions	1	1.51973836184363e-06	CDS
PB306	442	228	1069	insertions	2	4.10286708351796e-06	enhancer
PB306	442	228	5293	insertions	30	1.24295245955433e-05	intergenic
PB306	442	228	6588	insertions	26	8.65475772004389e-06	intron
PB306	442	228	1101	insertions	2	3.98361935720318e-06	promoter
PB306	442	228	419	insertions	2	1.04676966880208e-05	RNAs & TEs
PB306	442	228	1143	substitutions	23	4.41282558978373e-05	3'UTR
PB306	442	228	349	substitutions	3	1.8850852058513e-05	5'UTR
PB306	442	228	1443	substitutions	1	1.51973836184363e-06	CDS
PB306	442	228	1069	substitutions	4	8.20573416703593e-06	enhancer
PB306	442	228	5293	substitutions	146	6.04903530316439e-05	intergenic
PB306	442	228	6588	substitutions	202	6.72408099788025e-05	intron
PB306	442	228	1101	substitutions	6	1.19508580716095e-05	promoter
PB306	442	228	238	substitutions	7	6.4499484004128e-05	pseudogene
PB306	442	228	419	substitutions	6	3.14030900640623e-05	RNAs & TEs
PB306	443	226	1162	deletions	13	2.47513441883844e-05	3'UTR
PB306	443	226	348	deletions	2	1.27148814973044e-05	5'UTR
PB306	443	226	1036	deletions	2	4.27102197013701e-06	enhancer
PB306	443	226	5392	deletions	46	1.88742417478533e-05	intergenic
PB306	443	226	6837	deletions	80	2.5887253245938e-05	intron
PB306	443	226	1068	deletions	3	6.21457691160386e-06	promoter
PB306	443	226	234	deletions	1	9.45465547235459e-06	pseudogene
PB306	443	226	405	deletions	6	3.27761389708292e-05	RNAs & TEs
PB306	443	226	1162	insertions	4	7.61579821181058e-06	3'UTR
PB306	443	226	348	insertions	1	6.35744074865222e-06	5'UTR
PB306	443	226	5392	insertions	38	1.55917649221397e-05	intergenic
PB306	443	226	6837	insertions	52	1.68267146098597e-05	intron
PB306	443	226	234	insertions	2	1.89093109447092e-05	pseudogene
PB306	443	226	405	insertions	2	1.09253796569431e-05	RNAs & TEs
PB306	443	226	1162	substitutions	37	7.04461334592479e-05	3'UTR
PB306	443	226	348	substitutions	8	5.08595259892178e-05	5'UTR
PB306	443	226	1036	substitutions	4	8.54204394027403e-06	enhancer
PB306	443	226	5392	substitutions	174	7.1393870959271e-05	intergenic
PB306	443	226	6837	substitutions	286	9.25469303542282e-05	intron
